Fish ID,Species,Common Name,Lake Name,Kingdom,Phylum,Class,Order,Family,Genus,Statues,FeedingType,Tmax,Wmax,Lmax,TempPref_min,TempPref_max,TempRange,MeanFecundity,MinFecundity,MaxFecundity,Trophic Level Estimate,Trophic Level,WB_pH,WB_Salinity,WB_Dissolved Oxygen (mg/L),WB_Biochemical Oxygen Demand (mg/L),WB_Turbidity (NTU),WB_Temperature,Sources ,,
F0001,Copella arnoldi,Splash tetra,Amazon Basin,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Established,predator,,0.328,3.489,25,29,4,175,150,200,,3.26,5.5,0,5.5,2,4,27,FishBase,,
F0001,Copella arnoldi,Splash tetra,Demerara River Wismar,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Established,predator,,0.328,3.489,25,29,4,175,150,200,,3.26,6.2,0,6,3,6,27,FishBase,,
F0001,Copella arnoldi,Splash tetra,Yarakita River,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Established,predator,,0.328,3.489,25,29,4,175,150,200,,3.26,5.3,0,5,2,3,26.5,FishBase,,
F0001,Copella arnoldi,Splash tetra,Arauau River,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Established,predator,,0.328,3.489,25,29,4,175,150,200,,3.26,5.4,0,5.2,2,4,27,FishBase,,
F0001,Copella arnoldi,Splash tetra,"Kurupung River, Upper Mazaruni District",Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Established,predator,,0.328,3.489,25,29,4,175,150,200,,3.26,6,0,4.5,4,20,26,FishBase,,
F0001,Copella arnoldi,Splash tetra,Suriname River Kabel Station,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Established,predator,,0.328,3.489,25,29,4,175,150,200,,3.26,6.8,0,6,3,15,27,FishBase,,
F0001,Copella arnoldi,Splash tetra,Dalibane Creek,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Established,predator,,0.328,3.489,25,29,4,175,150,200,,3.26,6,0,5,2,5,27,FishBase,,
F0001,Copella arnoldi,Splash tetra,Lane Creek,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Established,predator,,0.328,3.489,25,29,4,175,150,200,,3.26,6,0,5,2,5,27,FishBase,,
F0001,Copella arnoldi,Splash tetra,Luci River,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,Established,predator,,0.328,3.489,25,29,4,175,150,200,,3.26,5.8,0,5,2,4,27,FishBase,,
F0002,Hyphessobrycon pulchripinnis,Lemon tetra,Rio Tapajós (Santarém waterfront),Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Established,variable,,0.5,3.8,23,28,5,6390,4680,8100,,2.91,6.0 – 7.0,0,0.11 – 1.69 ,,,28.7 – 31.1,Torres et al. 2020; FishBase; SeriouslyFish,,
F0002,Hyphessobrycon pulchripinnis,Lemon tetra,Tapajós tributaries (general),Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Established,variable,,0.5,3.8,23,28,5,6390,4680,8100,,2.91,5.5 – 7.0,0,5 – 7,,,29 – 32,Torres et al. 2020; regional Amazon studies,,
F0002,Hyphessobrycon pulchripinnis,Lemon tetra,Rio Cuiabá (Mato Grosso),Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Reported,variable,,0.5,3.8,23,28,5,6390,4680,8100,,2.91,6.2 – 7.5,0,<3.0,,,26 – 30+,Zeilhofer et al. 2006; FishBase,,
F0003,Pethia gelius,Golden barb,Ganga River — Bijnor,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pethia,Native,Omnivore,,0.629,4.9,18,22,4,85,70,100,,3.3,~7.6–8.1,0.01 – 0.15,6,3.83,3.7 – 523 NTU,7.22 – 29.52,USGS-NAS; FishBase; IUCN; Presence: Alam et al. 2020 (LWR survey). Water: CIFRI (Ganga water quality),,
F0003,Pethia gelius,Golden barb,Ganga River — Narora,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pethia,Native,Omnivore,,0.629,4.9,18,22,4,85,70,100,,3.3,7.9,0.01 – 0.15,7.9, 3.36 - 3.83,3.7 – 523 NTU,7.22 – 29.52,Presence: Alam et al. 2020. Water: CIFRI.,,
F0003,Pethia gelius,Golden barb,Ganga River — Farrukhabad,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pethia,Native,Omnivore,,0.629,4.9,18,22,4,85,70,100,,3.3,~7.5–8.0,0.01 – 0.15,6 mg,3.83,3.7 – 523 NTU.,7.22 – 29.52,Presence: Alam et al. 2020. Water: CIFRI.,,
F0003,Pethia gelius,Golden barb,Ganga River — Prayagraj (Allahabad),Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pethia,Native,Omnivore,,0.629,4.9,18,22,4,85,70,100,,3.3,~7.4–7.8,0.01 – 0.15 ,7.66,?3.36,3.7 – 523 NTU,7.22 – 29.52,Presence: Alam et al. 2020. Water & site numbers: CIFRI; Prayagraj WQI studies.,,
F0004,Hemigrammus ocellifer,Head-and-taillight tetra,Rio Negro,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Native / Established,Omnivore,,1.003,3.572,22,26,4,,,,,3.180000067,~4.0–5.0,~0.0,~9–13 mg·L?¹,,,~24–30 °C,USGS-NAS; CABI-ISC; Fishbase; IUCN; Basin hydrology studies & ichthyofaunal lists,,
F0004,Hemigrammus ocellifer,Head-and-taillight tetra,Solimões / Middle Amazon (Mamirauá / Mamirauá reserve area),Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Native / Established,Omnivore,,1.003,3.572,22,26,4,,,,,3.180000067,~6.5–7.0,~0.0,~5.8 mg·L?¹,,,~20–29 °C,USGS-NAS; CABI-ISC; Fishbase; IUCN; Floodplain fish & water-quality reports,,
F0004,Hemigrammus ocellifer,Head-and-taillight tetra,"Palumeu River (upper Palumeu watershed, southeastern Suriname)",Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Native / Established,Omnivore,,1.003,3.572,22,26,4,,,,,3.180000067,6.25–7.09,~0.0,1.72 ? 7.42 mg·L?¹,,,22.6–23.9 °C,USGS-NAS; CABI-ISC; Fishbase; IUCN; RAP survey physico-chemical tables,,
F0004,Hemigrammus ocellifer,Head-and-taillight tetra,"Sipaliwini & Kutari rivers (Kwamalasamutu region, SW Suriname)",Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Native / Established,Omnivore,,1.003,3.572,22,26,4,,,,,3.180000067,5.7–7.4,~0.0,4.2–5.4 mg·L?¹,,~22 NTU,~26–29 °C,USGS-NAS; CABI-ISC; Fishbase; IUCN; RAP & baseline assessments,,
F0004,Hemigrammus ocellifer,Head-and-taillight tetra,Oyapock / Oiapoque estuary (lower Oyapock / coastal rivers between French Guiana & Amapá),Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Native / Established,Omnivore,,1.003,3.572,22,26,4,,,,,3.180000067,~6.0–6.8,~0.0,~5–10 mg·L?¹,,,,Estuary water chemistry surveys,,
F0005,Danio rerio,Zebra danio,Ganga River — Varanasi / Prayagraj,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Native / Established,predator,5.15,5,2.8,18,24,6,450,400,500,,3.21,7.2 – 8.5,?0,5.7 – 7.8,1.4 – 2.1,? 55 mg·L?¹,~20–30°C,USGS-NAS; FishBase,,
F0005,Danio rerio,Zebra danio,Padma River — Bheramara (Kushtia),Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Native / Established,,5.15,5,2.8,18,24,6,450,400,500,,3.21,7.3 – 8.0,?0,7.59 mg·L?¹,3.21 mg·L?¹,,~24–30°C,USGS-NAS; FishBase,,
F0005,Danio rerio,Zebra danio,Brahmaputra River — Guwahati / Kamrup stretches,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Native / Established,,5.15,5,2.8,18,24,6,450,400,500,,3.21,6.8 – 7.9,?0,~4.9 – 7.9 mg·L?¹,~0.8 – 1.2 mg·L?¹,,~18–26°C,USGS-NAS; FishBase,,
F0005,Danio rerio,Zebra danio,Korotoa River (Bogura),Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Native / Established,,5.15,5,2.8,18,24,6,450,400,500,,3.21,7.1 – 7.6,?0,2.17 mg·L?¹,2.64 mg·L?¹,,25.86°C,USGS-NAS; FishBase,,
F0005,Danio rerio,Zebra danio,McCauley Spring (Sandoval Co.),Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Native / Established,,5.15,5,2.8,18,24,6,450,400,500,,3.21,nr,?0,,,,NR,USGS-NAS; FishBase,,
F0006,Devario aequipinnatus,Giant danio,Kallar River,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Devario,Native / Established,predator,,5,11.25,22,24,2,,300,,,2.9,6.5 – 7.6,0,~4.8–9.3 mg·L?¹,~1.13–20 mg·L?¹,na,na,Occurrence: GBIF / FishBase; regional water-quality summaries for Kerala river,,
